trade_index,equity
0,1.0117301923167352
1,1.0537087144338408
2,1.0572797450745097
3,1.0896911292918448
4,1.138814608986753
5,1.1844018044000355
6,1.1947182026857257
7,1.2251031205668261
8,1.2584680566089637
9,1.2829437117000873
10,1.3100380895692816
11,1.3599939874699007
12,1.4046239154054665
13,1.4512984047579223
14,1.4744440986927374
15,1.4916854400891086
16,1.5149785940018166
17,1.5717362884618051
18,1.5887709587541234
19,1.6134376254207896
20,1.6444046583878227
21,1.6909097806959972
22,1.7099624122749448
23,1.7344305677753584
24,1.7714606697414998
25,1.7901133731024352
26,1.82148760623127
27,1.8399117554668147
28,1.8616399596731787
29,1.897263722049416
30,1.915637236480655
31,1.931235874005492
32,1.9448146245896951
33,1.982271003370931
34,2.0042418215053766
35,2.0274885817283
36,2.071334622145203
37,2.0911017374172927
38,2.1007438534385328
39,2.1330589806904627
40,2.161817077307072
41,2.19730666353312
42,2.242534282723076
43,2.269398342313393
44,2.290309928543757
45,2.3090295453422414
46,2.346908979610732
47,2.3650117145822716
